12755	1	10885
12756	0	0
12757	0	0
12758	1	11424
12759	0	0
12760	0	0
12761	1	11793
12762	0	0
12763	0	0
12764	1	12723
12765	0	0
12766	1	11118
12767	0	0
12768	0	0
12769	1	12137
12770	0	0
12771	0	0
12772	0	0
12773	1	10530
12774	0	0
12775	0	0
12776	0	0
12777	1	12079
12778	0	0
12779	1	10589
12780	0	0
12781	0	0
12782	0	0
12783	1	11253
12784	0	0
12785	0	0
12786	1	10363
12787	0	0
12788	1	12635
114	0	0
12789	1	10964
12790	0	0
12791	1	11654
12792	0	0
12793	0	0
12794	1	10447
189	0	0
12795	1	11745
12796	0	0
12797	1	11539
12798	0	0
12799	1	9
34	0	0
12800	1	1787
12801	1	1779
12802	0	0
12803	1	6413
12804	0	0
12805	0	0
12806	1	4116
12807	0	0
12808	0	0
12809	1	3813
12810	0	0
12811	0	0
12812	0	0
12813	1	6586
12814	0	0
12815	0	0
12816	1	3421
12817	0	0
12818	1	5439
12819	1	3286
12820	0	0
12821	1	5427
12822	0	0
12823	0	0
12824	1	1658
12825	0	0
12826	1	4125
12827	0	0
12828	0	0
12829	1	2255
12830	0	0
12831	0	0
12832	1	4671
12833	0	0
12834	0	0
12835	1	3373
12836	0	0
12837	0	0
12838	0	0
12839	1	5267
12840	0	0
12841	1	2449
2533	0	0
12842	1	3710
12843	0	0
12844	0	0
12845	1	5691
12846	0	0
12847	1	2108
12848	0	0
12849	0	0
12850	1	5890
2677	0	0
12851	1	3224
12852	0	0
12853	0	0
12854	1	5150
12855	0	0
12856	0	0
12857	1	6202
12858	0	0
12859	1	5574
12860	0	0
12861	0	0
12862	1	6453
12863	0	0
12864	1	5480
12865	0	0
12866	1	6327
1618	0	0
12867	1	161
12868	0	0
12869	1	9839
12870	0	0
12871	1	1049
12872	0	0
12873	0	0
12874	0	0
12875	1	12474
12876	0	0
12877	0	0
12878	1	11313
12879	0	0
12880	0	0
12881	1	11566
12882	0	0
12883	0	0
12884	1	11255
12885	0	0
12886	0	0
12887	1	10815
12888	0	0
12889	0	0
12890	1	12102
12891	0	0
12892	0	0
12893	1	10797
12894	0	0
12895	0	0
12896	0	0
12897	1	11022
641	0	0
12898	1	11509
596	0	0
12899	1	12500
12900	0	0
12901	0	0
